index,col,value
662,939,0.953687613
939,662,0.953687613
509,248,0.946667604
248,509,0.946667604
327,572,0.938924357
572,327,0.938924357
743,891,0.905177144
891,743,0.905177144
787,710,0.894154719
710,787,0.894154719
